physical_error_probability,algorithm_latency_us,round_period_us,shots,windows_per_shot,logical_failures,logical_error_rate,ler_wilson_low,ler_wilson_high,direct_pymatching_failures,prediction_mismatches_vs_direct,throughput_windows_per_us,throughput_rounds_per_us,decoder_utilization,max_queued_windows,load,sim_wall_seconds_per_shot,c2b_per_round_mean_us,c2b_per_round_median_us,c2b_per_round_p99_us,c2b_per_round_max_us,buffer_fill_mean_us,buffer_fill_median_us,buffer_fill_p99_us,buffer_fill_max_us,dep_block_mean_us,dep_block_median_us,dep_block_p99_us,dep_block_max_us,queue_wait_mean_us,queue_wait_median_us,queue_wait_p99_us,queue_wait_max_us,cwd_per_window_mean_us,cwd_per_window_median_us,cwd_per_window_p99_us,cwd_per_window_max_us,fetch_mean_us,fetch_median_us,fetch_p99_us,fetch_max_us,algorithm_mean_us,algorithm_median_us,algorithm_p99_us,algorithm_max_us,release_mean_us,release_median_us,release_p99_us,release_max_us,service_mean_us,service_median_us,service_p99_us,service_max_us,dd_per_window_mean_us,dd_per_window_median_us,dd_per_window_p99_us,dd_per_window_max_us,wdo_per_window_mean_us,wdo_per_window_median_us,wdo_per_window_p99_us,wdo_per_window_max_us,frame_commit_mean_us,frame_commit_median_us,frame_commit_p99_us,frame_commit_max_us,buffer0_ready_to_frame_mean_us,buffer0_ready_to_frame_median_us,buffer0_ready_to_frame_p99_us,buffer0_ready_to_frame_max_us,buffer0_first_round_to_frame_mean_us,buffer0_first_round_to_frame_median_us,buffer0_first_round_to_frame_p99_us,buffer0_first_round_to_frame_max_us,qpu_last_round_to_frame_mean_us,qpu_last_round_to_frame_median_us,qpu_last_round_to_frame_p99_us,qpu_last_round_to_frame_max_us,qpu_first_round_to_frame_mean_us,qpu_first_round_to_frame_median_us,qpu_first_round_to_frame_p99_us,qpu_first_round_to_frame_max_us
0.001,0.028,10.0,10,19.0,0,0.0,0.0,0.2775401687666166,0,0,0.03209133775747894,0.10134106660256507,0.03388845267189778,1,0.050989473684210515,0.24900936809135601,0.50008,0.50008,0.50012,0.50012,50.00000421052632,50.0,50.00004,50.00004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.024,0.024,0.024,0.024,0.028000000000000004,0.028,0.028,0.028,0.004,0.004,0.004,0.004,1.056,1.056,1.056,1.056,0.47368421052631576,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.004,0.004,0.004,0.004,2.06,2.06,2.06,2.06,52.060004210526316,52.06,52.06004,52.06004,3.5600821052631573,3.56008,3.56012,3.56012,53.560082105263156,53.56008,53.56012,53.56012
0.001,0.028,5.0,10,19.0,0,0.0,0.0,0.2775401687666166,0,0,0.06396012550727112,0.2019793437071719,0.06754189253567834,1,0.10197894736842103,0.24308101141359656,0.50008,0.50008,0.50012,0.50012,25.000004210526317,25.0,25.00004,25.00004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.024,0.024,0.024,0.024,0.028000000000000004,0.028,0.028,0.028,0.004,0.004,0.004,0.004,1.056,1.056,1.056,1.056,0.47368421052631576,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.004,0.004,0.004,0.004,2.06,2.06,2.06,2.06,27.060004210526312,27.06,27.06004,27.06004,3.5600821052631573,3.56008,3.56012,3.56012,28.56008210526316,28.56008,28.56012,28.56012
0.001,0.028,2.0,10,19.0,0,0.0,0.0,0.2775401687666166,0,0,0.15825410078020938,0.4997497919375033,0.1671163304239012,1,0.25494736842105264,0.24369664409896358,0.50008,0.50008,0.50012,0.50012,10.000004210526315,10.0,10.00004,10.00004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.024,0.024,0.024,0.024,0.028000000000000004,0.028,0.028,0.028,0.004,0.004,0.004,0.004,1.056,1.056,1.056,1.056,0.47368421052631576,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.004,0.004,0.004,0.004,2.06,2.06,2.06,2.06,12.060004210526316,12.06,12.06004,12.06004,3.5600821052631573,3.56008,3.56012,3.56012,13.560082105263154,13.56008,13.56012,13.56012
0.001,0.028,1.0,200,19.0,3,0.015,0.005114145184492387,0.043166480556278884,3,0,0.31116893394178324,0.982638738763526,0.3285943942425233,1,0.5098947368421053,0.25462598966259975,0.50008,0.50008,0.50012,0.50012,5.000004210526316,5.0,5.00004,5.00004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.024,0.024,0.024,0.024,0.028000000000000004,0.028,0.028,0.028,0.004,0.004,0.004,0.004,1.056,1.056,1.056,1.056,0.47368421052631576,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.004,0.004,0.004,0.004,2.06,2.06,2.06,2.06,7.060004210526315,7.06,7.06004,7.06004,3.5600821052631577,3.56008,3.56012,3.56012,8.560082105263158,8.56008,8.56012,8.56012
0.001,0.028,0.9,10,19.0,0,0.0,0.0,0.2775401687666166,0,0,0.34445200224510186,1.0877431649845324,0.3637413143708278,1,0.5665497076023391,0.2438280962058343,0.50008,0.50008,0.50012,0.50012,4.500004210526316,4.5,4.50004,4.50004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.024,0.024,0.024,0.024,0.028000000000000004,0.028,0.028,0.028,0.004,0.004,0.004,0.004,1.056,1.056,1.056,1.056,0.47368421052631576,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.004,0.004,0.004,0.004,2.06,2.06,2.06,2.06,6.560004210526316,6.56,6.56004,6.56004,3.5600821052631573,3.56008,3.56012,3.56012,8.060082105263158,8.06008,8.06012,8.06012
0.001,0.028,0.85,10,19.0,0,0.0,0.0,0.2775401687666166,0,0,0.36391440120375224,1.1492033722223756,0.38429360767116255,1,0.5998761609907121,0.24372338039102032,0.50008,0.50008,0.50012,0.50012,4.250004210526316,4.25,4.25004,4.25004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.024,0.024,0.024,0.024,0.028000000000000004,0.028,0.028,0.028,0.004,0.004,0.004,0.004,1.056,1.056,1.056,1.056,0.47368421052631576,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.004,0.004,0.004,0.004,2.06,2.06,2.06,2.06,6.310004210526316,6.31,6.31004,6.31004,3.5600821052631573,3.56008,3.56012,3.56012,7.810082105263158,7.81008,7.81012,7.81012
0.001,0.028,0.8,10,19.0,0,0.0,0.0,0.2775401687666166,0,0,0.3857078591833387,1.2180248184737013,0.4073074992976059,1,0.6373684210526315,0.2436460449011065,0.50008,0.50008,0.50012,0.50012,4.000004210526316,4.0,4.00004,4.00004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.024,0.024,0.024,0.024,0.028000000000000004,0.028,0.028,0.028,0.004,0.004,0.004,0.004,1.056,1.056,1.056,1.056,0.47368421052631576,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.004,0.004,0.004,0.004,2.06,2.06,2.06,2.06,6.060004210526316,6.06,6.06004,6.06004,3.5600821052631573,3.56008,3.56012,3.56012,7.560082105263158,7.56008,7.56012,7.56012
0.001,0.028,0.5,10,19.0,0,0.0,0.0,0.2775401687666166,0,0,0.5833940267820844,1.8422969266802667,0.6160640922818815,1,1.0197894736842106,0.24437158219516278,0.50008,0.50008,0.50012,0.50012,2.5000042105263156,2.5,2.50004,2.50004,0.5039978947368421,0.504,1.00796,1.00796,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.024,0.024,0.024,0.024,0.028000000000000004,0.028,0.028,0.028,0.004,0.004,0.004,0.004,1.056,1.056,1.056,1.056,0.47368421052631576,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.004,0.004,0.004,0.004,2.563997894736842,2.564,3.06796,3.06796,5.064002105263158,5.064,5.568,5.568,4.06408,4.06408,4.56808,4.56808,6.5640800000000015,6.56408,7.06808,7.06808
0.001,0.028,0.2,10,19.0,0,0.0,0.0,0.2775401687666166,0,0,0.611560948164094,1.9312450994655603,0.6458083612612836,1,2.549473684210526,0.2458615271258168,0.50008,0.50008,0.50012,0.50012,1.0000042105263158,1.0,1.00004,1.00004,8.60399789473684,8.604,17.20796,17.20796,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.024,0.024,0.024,0.024,0.028000000000000004,0.028,0.028,0.028,0.004,0.004,0.004,0.004,1.056,1.056,1.056,1.056,0.47368421052631576,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.004,0.004,0.004,0.004,10.663997894736843,10.664,19.26796,19.26796,11.664002105263158,11.664,20.268,20.268,12.16408,12.16408,20.76808,20.76808,13.164080000000002,13.16408,21.76808,21.76808
0.001,0.028,0.1,10,19.0,0,0.0,0.0,0.2775401687666166,0,0,0.6215642219782492,1.9628343851944714,0.6563718184090315,1,5.098947368421052,0.24668136658146977,0.50008,0.50008,0.50012,0.50012,0.5000042105263158,0.5,0.50004,0.50004,11.303997894736842,11.304,22.60796,22.60796,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.024,0.024,0.024,0.024,0.028000000000000004,0.028,0.028,0.028,0.004,0.004,0.004,0.004,1.056,1.056,1.056,1.056,0.47368421052631576,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.004,0.004,0.004,0.004,13.363997894736844,13.364,24.66796,24.66796,13.86400210526316,13.864,25.168,25.168,14.864080000000001,14.86408,26.16808,26.16808,15.364080000000001,15.36408,26.66808,26.66808
